// INIZIALIZZAZIONE ALBERO
// **********************************************************************************************
//  I parametri d'inizializzazione di ogni nodo sono i seguenti:
//   idAppartenenza, idProprio, decisione, domanda, parteSoluzione, identificatoreSoluzione
// **********************************************************************************************
//  Identificatori soluzioni:
//      [A] Soggetto
//      [W] Caratteristica
//      [S] Stato
//      [D] Colori
//      [R] Stile
// **********************************************************************************************
//
361,468,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
363,469,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
367,470,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
369,471,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
373,472,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
375,473,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
379,474,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
381,475,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
385,476,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
387,477,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
419,478,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
421,479,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
425,480,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
427,481,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
437,482,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
439,483,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
443,484,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
445,485,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
453,486,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
454,487,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
456,484,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
457,485,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
461,486,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
462,487,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
464,486,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
465,487,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
